model,readout,n_prompt_clusters,late_it_given_pt_upstream,late_it_given_it_upstream,interaction,interaction_ci95_low,interaction_ci95_high
llama31_8b,common_it,600,0.7933870442708333,2.0467049153645833,1.25331787109375,1.1038143513997394,1.4172403767903645
qwen25_32b,common_it,599,1.0358931552587647,2.3376460767946576,1.3017529215358932,1.1370682909015026,1.489260747078464
qwen3_4b,common_it,600,0.5890364583333333,2.0531510416666667,1.4641145833333333,1.3152317708333332,1.6185019531249998
olmo2_7b,common_it,586,0.7620994125209978,2.608758164754093,1.846658752233095,1.6737299222588133,2.0264709759084027
mistral_7b,common_it,597,0.6133793969849246,3.147377512562814,2.5339981155778895,2.3492364164572863,2.7178221838358456
qwen25_32b,common_pt,599,1.0372495826377295,2.3520450751252087,1.3147954924874792,1.1325881677796326,1.4968228297161936
llama31_8b,common_pt,600,0.8222298177083334,2.1931217447916667,1.3708919270833333,1.217615030924479,1.531685546875
qwen3_4b,common_pt,600,0.6870833333333334,2.168125,1.4810416666666666,1.3327291666666665,1.6408333333333334
olmo2_7b,common_pt,586,0.7585492679283481,2.582454274538841,1.8239050066104927,1.6536491088086023,1.999952339678494
mistral_7b,common_pt,597,0.6134055695142379,3.1435301507537687,2.530124581239531,2.347575769472362,2.7113876675041877
